zone_id,total_service_demand,zone_hour_records,weekend_demand,after_hours_demand,high_demand_hours,peak_hour_demand,avg_calls_per_zone_hour,weekend_share,after_hours_share,high_demand_hour_rate,peak_hour
K3,274594,116525,68570,175047,21573,26,2.35652435099764,0.24971412339672389,0.6374756913843711,0.18513623685904312,12
M3,219114,97873,50846,120933,16266,20,2.2387583909760607,0.23205272141442354,0.551918179577754,0.16619496694696187,16
E2,214035,101001,68726,152293,13368,40,2.119137434282829,0.3210970168430397,0.7115331604644101,0.13235512519678022,1
N3,180925,97156,45491,110007,21085,30,1.8622112890608917,0.2514356777670305,0.6080254248998204,0.21702210877351888,12
D2,178687,97194,42810,105248,20254,33,1.8384571064057451,0.2395809432135522,0.5890075942849787,0.20838734901331357,16
K2,172842,90901,50632,107451,20485,28,1.9014312273792366,0.29293805903657677,0.6216718158780852,0.2253550566000374,16
D1,154447,87724,46021,102362,15798,20,1.7606014317632575,0.2979727673570869,0.6627645729603036,0.18008754730746432,1
R2,152949,88931,40019,94845,15642,23,1.7198614656306574,0.26164930793924773,0.6201086636722044,0.175889172504526,12
M1,152497,84009,40970,90514,16915,21,1.8152459855491674,0.2686610228397936,0.5935461025462796,0.2013474746753324,16
Q3,152489,89715,45017,100197,14937,35,1.699704620186145,0.29521473680068727,0.6570769039078228,0.16649389734158168,9
K1,151786,85791,32023,81765,15914,21,1.7692531850660325,0.21097466169475446,0.5386860448262686,0.18549731323798532,16
W1,146394,82080,45858,101999,15036,69,1.7835526315789474,0.31325054305504324,0.6967430359167726,0.18318713450292398,21
E1,146080,88137,40051,97170,13496,16,1.6574196988778833,0.27417168674698794,0.6651834611171961,0.15312524819315385,12
U1,144115,87647,39159,94034,13246,12,1.6442662042055063,0.2717205009887937,0.6524928008881796,0.15112896048923521,9
M2,142704,79547,35655,83896,15517,17,1.7939582888103889,0.24985284224688867,0.5879022311918376,0.19506706726840736,16
U2,139453,84536,37486,88127,12787,18,1.64962856061323,0.26880741181616746,0.6319476812976415,0.1512610012302451,13
E3,135977,85477,36896,88643,11344,15,1.5908022041016883,0.2713400060304316,0.6518970119946755,0.13271406343226833,9
D3,134037,80880,30078,74709,11891,14,1.65723293768546,0.22440072517290002,0.5573759484321493,0.1470202769535114,16
B1,131834,82067,35680,80319,11417,13,1.6064191453324723,0.270643384862782,0.6092434425110366,0.13911803770090292,13
N2,130219,80842,31550,78558,11345,27,1.6107839984166645,0.24228415208226142,0.603276019628472,0.14033546918680884,12
B2,128317,80531,35286,78482,10746,13,1.593386397784704,0.27499084299040655,0.6116258952438103,0.13343929666836374,12
O1,126938,72191,30647,71263,12798,26,1.7583632308736545,0.2414328254738534,0.5614000535694591,0.17727971630812706,13
R3,124938,76853,34670,80085,10788,14,1.6256749899158134,0.27749763882885914,0.640997934975748,0.14037187878157,13
S2,123686,76123,32887,79370,10941,15,1.624817729201424,0.26589104668272884,0.6417056093656517,0.14372791403386626,20
W2,119583,77704,32357,76978,8933,29,1.5389555235251724,0.27058193890435933,0.6437202612411463,0.11496190672294862,13
F1,118952,77485,30890,74231,8890,23,1.535161644189198,0.2596845786535745,0.6240416302374067,0.11473188359037233,12
U3,118687,76738,31305,72730,9096,16,1.5466522453021971,0.2637609847750807,0.6127882581917143,0.11853319085720243,20
R1,117336,76788,30852,74288,8729,10,1.528051258009064,0.2629372059725915,0.6331219745005795,0.11367661613793822,12
B3,117207,75734,29976,70426,8897,15,1.5476140174822404,0.2557526427602447,0.6008685488068118,0.11747695882958777,12
Q2,116815,75156,29295,68516,8629,21,1.554300388525201,0.2507811496811197,0.5865342635791636,0.11481451913353558,12
S1,114524,74840,29240,70006,8716,21,1.530251202565473,0.2553176626733261,0.6112779854004401,0.1164617851416355,12
G2,114456,73665,28493,70946,9032,23,1.5537365098757892,0.2489428251904662,0.6198539176626826,0.12260910880336659,12
S3,110686,71337,29672,69440,8742,31,1.5515931424085678,0.2680736497840739,0.6273602804329365,0.12254510282181758,12
F2,110002,72697,28976,70370,7953,20,1.5131573517476649,0.26341339248377305,0.6397156415337903,0.10939928745340248,15
L2,105223,71363,27804,64793,6809,43,1.474475568571949,0.26423880710491054,0.6157684156505707,0.09541358967532194,17
C1,102684,70451,26644,63450,6533,9,1.4575236689330173,0.25947567293833507,0.6179151571812551,0.09273111808207123,9
F3,100466,68806,26460,63898,6405,23,1.4601342906141905,0.2633726832958414,0.6360161646726256,0.09308781210940906,12
L3,100033,68513,25904,61382,6389,15,1.460058674995986,0.25895454500014997,0.6136175062229464,0.09325237546159124,20
L1,99730,69408,26144,62917,5899,20,1.4368660673121254,0.2621477990574551,0.6308733580667804,0.08499020285846012,12
O2,95468,61303,20866,54416,7144,16,1.5573136714353295,0.2185653831650396,0.5699920392173293,0.11653589547004226,14
W3,90397,63618,23759,56682,5184,15,1.4209343267628658,0.26282951867871723,0.6270340829894797,0.08148637178157125,13
C3,88731,62384,23544,54707,5171,9,1.422335855347525,0.2653413125063394,0.6165488949746988,0.08288984354962811,12
G1,88121,63833,21668,56265,4432,22,1.3804928485266241,0.2458891751114944,0.6384970665335165,0.06943117196434447,12
J3,87771,62453,23237,53419,4879,12,1.4053928554272812,0.26474575884973395,0.6086178806211618,0.07812274830672666,12
J1,83711,60232,23367,54440,4406,12,1.3898094036392614,0.2791389423134355,0.6503326922387739,0.07315048479213707,20
Q1,82089,59953,21598,49320,3986,10,1.3692225576701749,0.263104679067841,0.6008113145488433,0.06648541357396627,13
G3,81805,58983,21254,50628,4282,9,1.3869250461997524,0.2598129698673675,0.6188863761383778,0.07259718902056525,12
C2,77209,56657,19558,46123,3719,10,1.3627442328397197,0.25331243766918365,0.59737854395213,0.06564060928040666,12
O3,76994,56039,18483,47087,4025,9,1.3739360088509789,0.24005766683118165,0.6115671351014365,0.07182497903245953,12
J2,75372,56202,20004,46502,3317,8,1.3410910643749332,0.26540359815316034,0.6169665127633605,0.059019251983915166,12
N1,72924,55354,19247,46179,2879,10,1.3174115691729595,0.26393231309308324,0.6332483133124898,0.05201069480073708,20
99,12192,11082,2488,6943,950,6,1.100162425554954,0.20406824146981628,0.5694717847769029,0.08572459844793359,12
HS,7007,5472,2404,3038,1159,6,1.2805190058479532,0.3430854859426288,0.43356643356643354,0.21180555555555555,11
CTY,2918,2756,529,1549,139,6,1.0587808417997098,0.18128855380397532,0.5308430431802604,0.050435413642960815,11
S,2830,2712,483,1507,104,5,1.0435103244837758,0.1706713780918728,0.5325088339222614,0.038348082595870206,14
DET,2196,1927,132,651,125,10,1.1395952257394915,0.060109289617486336,0.296448087431694,0.06486766995329528,9
COMM,2130,2081,479,1088,48,3,1.023546371936569,0.2248826291079812,0.5107981220657277,0.023065833733781835,15
N,1774,1673,519,999,76,5,1.0603705917513448,0.29255918827508454,0.5631341600901917,0.045427375971309025,10
W,1320,1277,318,688,38,4,1.033672670321065,0.2409090909090909,0.5212121212121212,0.02975724353954581,11
WS,1243,1141,436,742,93,3,1.0893952673093776,0.3507642799678198,0.5969428801287209,0.08150744960560911,12
E,1162,1126,243,550,30,5,1.0319715808170515,0.20912220309810672,0.47332185886402756,0.02664298401420959,12
NP,971,817,292,521,110,8,1.1884944920440637,0.30072090628218334,0.5365602471678682,0.1346389228886169,10
WP,782,706,129,355,50,7,1.1076487252124645,0.1649616368286445,0.4539641943734015,0.0708215297450425,7
SS,771,721,201,381,47,3,1.0693481276005548,0.2607003891050584,0.49416342412451364,0.0651872399445215,12
CDD,677,672,156,413,5,2,1.0074404761904763,0.23042836041358936,0.6100443131462334,0.00744047619047619,10
SPVDD,662,649,144,435,12,3,1.0200308166409862,0.2175226586102719,0.6570996978851964,0.01848998459167951,3
INV,516,510,125,299,5,3,1.011764705882353,0.24224806201550386,0.5794573643410853,0.00980392156862745,12
HBR,491,336,137,179,33,5,1.4613095238095237,0.2790224032586558,0.3645621181262729,0.09821428571428571,11
FS,407,382,108,289,18,4,1.0654450261780104,0.26535626535626533,0.7100737100737101,0.04712041884816754,22
TRF,381,308,50,220,34,10,1.2370129870129871,0.13123359580052493,0.5774278215223098,0.11038961038961038,7
ES,375,356,89,141,18,3,1.053370786516854,0.23733333333333334,0.376,0.05056179775280899,12
US,334,312,103,245,20,3,1.0705128205128205,0.3083832335329341,0.7335329341317365,0.0641025641025641,1
SP,312,298,30,112,11,3,1.0469798657718121,0.09615384615384616,0.358974358974359,0.03691275167785235,15
LAPT,305,136,17,62,32,15,2.2426470588235294,0.05573770491803279,0.20327868852459016,0.23529411764705882,8
MS,300,287,152,234,12,3,1.0452961672473868,0.5066666666666667,0.78,0.041811846689895474,0
JS,277,259,125,198,17,3,1.0694980694980696,0.45126353790613716,0.7148014440433214,0.06563706563706563,1
OS,261,250,59,138,10,3,1.044,0.2260536398467433,0.5287356321839081,0.04,14
RS,259,240,82,164,11,10,1.0791666666666666,0.3166023166023166,0.6332046332046332,0.04583333333333333,7
NS,250,243,64,165,7,2,1.02880658436214,0.256,0.66,0.02880658436213992,12
KS,234,223,99,192,11,2,1.0493273542600896,0.4230769230769231,0.8205128205128205,0.04932735426008968,23
EP,217,208,31,110,9,2,1.0432692307692308,0.14285714285714285,0.5069124423963134,0.04326923076923077,9
SWT,212,204,15,109,8,2,1.0392156862745099,0.07075471698113207,0.5141509433962265,0.0392156862745098,7
QS,168,167,43,115,1,2,1.0059880239520957,0.25595238095238093,0.6845238095238095,0.005988023952095809,20
CS,167,165,30,79,2,2,1.0121212121212122,0.17964071856287425,0.47305389221556887,0.012121212121212121,13
DS,163,157,55,119,5,3,1.0382165605095541,0.3374233128834356,0.7300613496932515,0.03184713375796178,0
BS,102,94,30,64,7,3,1.0851063829787233,0.29411764705882354,0.6274509803921569,0.07446808510638298,10
ODD,87,86,10,19,1,2,1.0116279069767442,0.11494252873563218,0.21839080459770116,0.011627906976744186,9
LS,84,80,22,48,3,3,1.05,0.2619047619047619,0.5714285714285714,0.0375,10
CMD,83,81,21,46,2,2,1.0246913580246915,0.25301204819277107,0.5542168674698795,0.024691358024691357,8
TQ,58,58,2,10,0,1,1.0,0.034482758620689655,0.1724137931034483,0.0,15
H3,57,56,23,33,1,2,1.0178571428571428,0.40350877192982454,0.5789473684210527,0.017857142857142856,8
GS,49,49,9,20,0,1,1.0,0.1836734693877551,0.40816326530612246,0.0,12
SEY,42,32,25,42,5,4,1.3125,0.5952380952380952,1.0,0.15625,22
CCD,38,32,22,28,5,3,1.1875,0.5789473684210527,0.7368421052631579,0.15625,14
SPVD,31,31,9,20,0,1,1.0,0.2903225806451613,0.6451612903225806,0.0,3
SCTR1,31,28,10,13,3,2,1.1071428571428572,0.3225806451612903,0.41935483870967744,0.10714285714285714,9
XDD,27,24,7,22,2,3,1.125,0.25925925925925924,0.8148148148148148,0.08333333333333333,5
SD,25,24,4,17,1,2,1.0416666666666667,0.16,0.68,0.041666666666666664,19
ND,23,23,4,12,0,1,1.0,0.17391304347826086,0.5217391304347826,0.0,12
TAC3,19,17,11,16,2,2,1.1176470588235294,0.5789473684210527,0.8421052631578947,0.11764705882352941,8
HBRNP,18,4,0,0,1,6,4.5,0.0,0.0,0.25,15
WD,17,17,3,10,0,1,1.0,0.17647058823529413,0.5882352941176471,0.0,15
H2,15,15,6,8,0,1,1.0,0.4,0.5333333333333333,0.0,10
HARBOR,14,8,1,2,2,3,1.75,0.07142857142857142,0.14285714285714285,0.25,17
H1,13,13,1,3,0,1,1.0,0.07692307692307693,0.23076923076923078,0.0,11
CD,12,12,5,8,0,1,1.0,0.4166666666666667,0.6666666666666666,0.0,18
CMD2,12,9,9,11,2,3,1.3333333333333333,0.75,0.9166666666666666,0.2222222222222222,16
SEA,10,10,8,9,0,1,1.0,0.8,0.9,0.0,10
TAC2,10,10,7,8,0,1,1.0,0.7,0.8,0.0,11
TAC9,9,9,2,5,0,1,1.0,0.2222222222222222,0.5555555555555556,0.0,6
ED,9,9,2,6,0,1,1.0,0.2222222222222222,0.6666666666666666,0.0,12
SEI,8,8,4,8,0,1,1.0,0.5,1.0,0.0,17
TRU,7,7,2,6,0,1,1.0,0.2857142857142857,0.8571428571428571,0.0,15
DETOX,6,6,2,6,0,1,1.0,0.3333333333333333,1.0,0.0,1
DSPVD,6,6,1,4,0,1,1.0,0.16666666666666666,0.6666666666666666,0.0,2
OD,5,4,0,0,1,2,1.25,0.0,0.0,0.25,17
CMD4,4,4,0,4,0,1,1.0,0.0,1.0,0.0,7
DBD,4,4,1,2,0,1,1.0,0.25,0.5,0.0,9
DCD,3,3,1,1,0,1,1.0,0.3333333333333333,0.3333333333333333,0.0,14
M,3,3,0,2,0,1,1.0,0.0,0.6666666666666666,0.0,0
P1,3,3,2,2,0,1,1.0,0.6666666666666666,0.6666666666666666,0.0,1
SE,3,3,0,2,0,1,1.0,0.0,0.6666666666666666,0.0,7
CMD3,3,3,0,3,0,1,1.0,0.0,1.0,0.0,14
CC,2,2,1,1,0,1,1.0,0.5,0.5,0.0,8
DND,2,2,0,0,0,1,1.0,0.0,0.0,0.0,11
DDB,2,2,0,0,0,1,1.0,0.0,0.0,0.0,8
TAC4,2,2,0,2,0,1,1.0,0.0,1.0,0.0,9
TDD,2,2,1,2,0,1,1.0,0.5,1.0,0.0,4
MTD,2,2,2,2,0,1,1.0,1.0,1.0,0.0,9
NDD,2,2,1,1,0,1,1.0,0.5,0.5,0.0,4
P3,2,2,0,1,0,1,1.0,0.0,0.5,0.0,11
PN1,2,2,0,0,0,1,1.0,0.0,0.0,0.0,12
DBB,1,1,0,1,0,1,1.0,0.0,1.0,0.0,7
CTR1,1,1,1,1,0,1,1.0,1.0,1.0,0.0,16
CLEAR,1,1,0,1,0,1,1.0,0.0,1.0,0.0,22
2,1,1,0,0,0,1,1.0,0.0,0.0,0.0,15
1,1,1,1,1,0,1,1.0,1.0,1.0,0.0,9
B,1,1,1,1,0,1,1.0,1.0,1.0,0.0,0
DCC,1,1,0,1,0,1,1.0,0.0,1.0,0.0,7
DSPV,1,1,0,0,0,1,1.0,0.0,0.0,0.0,16
K,1,1,0,1,0,1,1.0,0.0,1.0,0.0,0
ITRU,1,1,1,1,0,1,1.0,1.0,1.0,0.0,21
KC,1,1,0,1,0,1,1.0,0.0,1.0,0.0,20
DWD,1,1,0,0,0,1,1.0,0.0,0.0,0.0,12
SOUTH,1,1,0,0,0,1,1.0,0.0,0.0,0.0,10
NV,1,1,0,1,0,1,1.0,0.0,1.0,0.0,15
PSPSN2,1,1,0,1,0,1,1.0,0.0,1.0,0.0,7
PSPSN1,1,1,0,1,0,1,1.0,0.0,1.0,0.0,7
TAC6,1,1,0,0,0,1,1.0,0.0,0.0,0.0,12
TAC1,1,1,0,0,0,1,1.0,0.0,0.0,0.0,12
T,1,1,0,0,0,1,1.0,0.0,0.0,0.0,17
SPDD,1,1,0,0,0,1,1.0,0.0,0.0,0.0,17
SPCT,1,1,0,0,0,1,1.0,0.0,0.0,0.0,9
SPVV,1,1,0,0,0,1,1.0,0.0,0.0,0.0,13
SVPDD,1,1,1,1,0,1,1.0,1.0,1.0,0.0,15
SW,1,1,0,1,0,1,1.0,0.0,1.0,0.0,0
